 Alexander City, ALABAMA
32.0 -85.0
 Anniston, ALABAMA
33.0 -85.0
 Auburn, ALABAMA
32.0 -85.0
 Birmingham, ALABAMA
33.0 -86.0
 Decatur, ALABAMA
34.0 -86.0
 Dothan, ALABAMA
31.0 -85.0
 Florence, ALABAMA
34.0 -87.0
 Gadsden, ALABAMA
34.0 -86.0
 Huntsville, ALABAMA
34.0 -86.0
 Mobile, ALABAMA
30.0 -88.0
 Mobile Co, ALABAMA
30.0 -88.0
 Montgomery, ALABAMA
32.0 -86.0
 Selma-Craig, ALABAMA
32.0 -87.0
 Talladega, ALABAMA
33.0 -86.0
 Tuscaloosa, ALABAMA
33.0 -87.0
 Anchorage, ALASKA
61.0 -150.0
 Barrow, ALASKA
71.0 -156.0
 Fairbanks, ALASKA
64.0 -147.0
 Juneau, ALASKA
58.0 -134.0
 Kodiak, ALASKA
57.0 -152.0
 Nome, ALASKA
64.0 -165.0
 Douglas, ARIZONA
31.0 -109.0
 Flagstaff, ARIZONA
35.0 -111.0
 Fort Huachuca, ARIZONA
31.0 -110.0
 Kingman, ARIZONA
35.0 -114.0
 Nogales, ARIZONA
31.0 -110.0
 Phoenix, ARIZONA
33.0 -112.0
 Prescott, ARIZONA
34.0 -112.0
 Tucson, ARIZONA
32.0 -110.0
 Winslow, ARIZONA
35.0 -110.0
 Yuma, ARIZONA
32.0 -114.0
 Blytheville, ARKANSAS
35.0 -89.0
 Camden, ARKANSAS
33.0 -92.0
 El Dorado, ARKANSAS
33.0 -92.0
 Fayetteville, ARKANSAS
36.0 -94.0
 Fort Smith, ARKANSAS
35.0 -94.0
 Hot Springs, ARKANSAS
34.0 -93.0
 Jonesboro, ARKANSAS
35.0 -90.0
 Little Rock, ARKANSAS
34.0 -92.0
 Pine Bluff, ARKANSAS
34.0 -92.0
 Texarkana, ARKANSAS
33.0 -93.0
 Bakersfield, CALIFORNIA
35.0 -119.0
 Barstow, CALIFORNIA
34.0 -116.0
 Blythe, CALIFORNIA
33.0 -114.0
 Burbank, CALIFORNIA
34.0 -118.0
 Chico, CALIFORNIA
39.0 -121.0
 Concord, CALIFORNIA
37.0 -121.0
 Covina, CALIFORNIA
34.0 -117.0
 Crescent City, CALIFORNIA
41.0 -124.0
 Downey, CALIFORNIA
33.0 -118.0
 El Cajon, CALIFORNIA
32.0 -116.0
 El Cerrito, CALIFORNIA
32.0 -115.0
 Escondido, CALIFORNIA
33.0 -117.0
 Eureka/Arcata, CALIFORNIA
40.0 -124.0
